pes4,Pro Evolution Soccer 4
pes5,Pro Evolution Soccer 5
pes6,Pro Evolution Soccer 6
psblindmp,Project Snowblind Multiplayer
psblind,Project Snowblind Single Player
proq,ProQuake
pnauts,Psychonauts
ptox,Psychotoxic
quake4,Quake 4
quake4dem,Quake 4 Demo
q2,Quake II
q3,Quake III Arena
qwcl,QuakeWorld
rose,R.O.S.E. Online Evolution
rylna,R.Y.L. Path of the Emperor
rdkungfu,Rag Doll Kung Fu
ragnrk,Ragnarok Online
rrt3,Railroad Tycoon 3
rt2,Railroad Tycoon II
rt2p,Railroad Tycoon II Platinum
r63as,Rainbow Six 3 - Athena Sword
r6l,Rainbow Six Lockdown
r6ld,Rainbow Six Lockdown Demo
rcf,Rakion Chaos Force
rappelz,Rappelz Epic3
r63,Raven Shield
rfac,Red Faction
rf2,Red Faction II
utro,Red Orchestra
ros,Red Orchestra Ostfront 41-45 (Steam)
resdogs,Reservoir Dogs
rtcwmp,Return to Castle Wolfenstein Multiplayer
rtcwsp,Return to Castle Wolfenstein Single Player
rfo,RF Online
rbr,Richard Burns Rally
hlr15,Ricochet 1.5
hlr,Ricochet 1.6
rfcaw,Rise & Fall
rol,Rise of Legends
ron,Rise of Nations
rontp,Rise of Nations - Thrones & Patriots
risk2,Risk II
ryl,Risk Your Life
riven,Riven
rosp,Rogue Spear
rospuo,Rogue Spear - Urban Operations
swrs,Rogue Squadron
roguet,Rogue Trooper
rct,Rollercoaster Tycoon
rct2,RollerCoaster Tycoon 2
rct3,RollerCoaster Tycoon 3
rct3s,RollerCoaster Tycoon 3 Soaked
rct3w,RollerCoaster Tycoon 3 Wild
rtwbi,Rome - Barbarian Invasion
rtw,Rome - Total War
roe,Rubies of Eventide
rune,Rune
rfb,Rush For Berlin
sacred,Sacred
sacredu,Sacred Underworld
sfice,Sacrifice
utsas,SAS Into the Lion's Den
sav,Savage: The Battle for Newerth
savdem,Savage: The Battle for Newerth DEMO 2.0
sface,Scarface
schtcoon,School Tycoon
scrap,Scrapland
sl,Second Life
ssam,Serious Sam
ssse,Serious Sam - The Second Encounter
ssam2,Serious Sam 2
ss2d,Serious Sam 2 Demo
sbane,Shadowbane
shadowg,Shadowgrounds
shgal,Shattered Galaxy
su,Shattered Union
ssn67,ShellShock Nam67
shoto,Shot Online
smac,Sid Meier's Alpha Centauri
smp,Sid Meier's Pirates!
smrr,Sid Meier's Railroads
shill2,Silent Hill 2
shill3,Silent Hill 3
shill4,Silent Hill 4
sh3,Silent Hunter III
s2,Silent Storm
sro,Silkroad Online
sc3,SimCity 3000
sc3u,SimCity 3000 Unlimited
simc4,SimCity 4
sins,Sin (Steam)
sine1,Sin Episodes - Emergence
sinmps,Sin Multiplayer (Steam)
skillground,SkillGround.com
snipere,Sniper Elite
soldat,Soldat
sfront,Soldier Front
sof,Soldier of Fortune
sof2mp,Soldier of Fortune II Multiplayer
sof2sp,Soldier of Fortune II Single Player
soldiers,Soldiers - Heroes of World War II
soldner,Soldner - Secret Wars
sold,Soldner Beta Demo
winsol,Solitaire
sonich,Sonic Heroes
sonicr,Sonic Riders
hl2sdk,Source SDK Base
hl2sf,Sourceforts
se4dlx,Space Empires IV Deluxe
se5,Space Empires V
srangers2,Space Rangers 2
spacecow,SpaceCowboy
spartan,Spartan
sforce,SpellForce - The Order of Dawn
sforce2,SpellForce2 - Shadow Wars
winspdr,Spider Solitaire
spcell,Splinter Cell
scctmp,Splinter Cell Chaos Theory Multiplayer
scctsp,Splinter Cell Chaos Theory Single Player
scctspd,Splinter Cell Chaos Theory Single Player Demo
scctvb,Splinter Cell Chaos Theory Versus Beta
scdamp,Splinter Cell Double Agent Multiplayer
scdasp,Splinter Cell Double Agent Single Player
scptmp,Splinter Cell Pandora Tomorrow Multiplayer
scptsp,Splinter Cell Pandora Tomorrow Single Player
scrtk,Sprint Cars: Road to Knoxville
stacked,Stacked
starm,Star Trek Armada
starm2,Star Trek Armada II
stat,Star Trek Away Team
stbc,Star Trek Bridge Commander
stet2,Star Trek Elite Force II
stlegacy,Star Trek Legacy
stvefmp,Star Trek Voyager: Elite Force Multiplayer
stvefsp,Star Trek Voyager: Elite Force Single Player
swbf,Star Wars Battlefront
swbf2,Star Wars Battlefront II
sweawdem,Star Wars Empire at War Demo
swgb,Star Wars Galactic Battlegrounds
swgbcc,Star Wars Galactic Battlegrounds - Clone Campaigns
swgjtlb,Star Wars Galaxies - The Jump to Lightspeed Beta
swgaed,Star Wars Galaxies: An Empire Divided
swkotor,Star Wars Knights of the Old Republic
swkotor2,Star Wars Knights of the Old Republic II: The Sith Lords
swrc,Star Wars Republic Commando
swrcd,Star Wars Republic Commando Demo
swsf,Star Wars Starfighter
